#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cannotBuildTradePost;Is not tribal or publicly practice an evil religion;N'est pas tribal ou ne pratique pas publiquement une religion maléfique;Ist kein Stamm oder praktiziert öffentlich eine böse Religion;;;;;;;;;;;x
;;;;;;;;;;;;;;x
eastern_kingdoms_south_trade_route;Azerothian Trade Route;Route commerciale azérothienne;Azerothische Handelsroute;;;;;;;;;;;x
eastern_kingdoms_north_trade_route;Lordaeron Trade Route;Route commerciale lordaeronaise;Lordaeron'sche Handelsroute;;;;;;;;;;;x
eastern_kingdoms_west_sea_trade_route;Eastern Sea Trade Route;Route commerciale de la mer de l'Est;Östliche Seehandelsroute;;;;;;;;;;;x
kalimdor_trade_route;Gold Road Trade Route;Route commerciale de la route de l'Or;Goldstraßen-Handelsroute;;;;;;;;;;;x
kalimdor_east_sea_trade_route;Kaldorei Sea Trade Route;Route commerciale de la mer kaldorei;Kaldoreiische Seehandelsroute;;;;;;;;;;;x
great_sea_trade_route;Great Sea Trade Route;Route commerciale de la Grande mer;Große Seehandelsroute;;;;;;;;;;;x
;;;;;;;;;;;;;;x
eastern_kingdoms_north_trade_route_tooltip;Can only build §YTrade Posts§! in certain Counties along the §YLordearon Trade Route§!\n        Open the §YTrade Zones Mapmode§! to see valid Counties;Vous ne pouvez construire de §YComptoirs§! que dans certains comtés sur la §YRoute commerciale lordaeronaise§!\n        Ouvrez la §Ycarte des Routes commerciales§! pour voir les comtés valides;Kann §YHandelsposten§! nur in bestimmten Grafschaften entlang der §YLordearon'schen Handelsroute§! errichten.\n        Öffnet den §YHandelszonen-Kartenmodus§!, um gültige Grafschaften zu sehen.;;;;;;;;;;;x
eastern_kingdoms_south_trade_route_tooltip;Can only build §YTrade Posts§! in certain Counties along the §YAzerothian Trade Route§!\n        Open the §YTrade Zones Mapmode§! to see valid Counties;Vous ne pouvez construire de §YComptoirs§! que dans certains comtés sur la §YRoute commerciale azérothienne§!\n        Ouvrez la §Ycarte des Routes commerciales§! pour voir les comtés valides;Kann §YHandelsposten§! nur in bestimmten Grafschaften entlang der §YAzerothischen Handelsroute§! errichten\n        Öffnet den §YHandelszonen-Kartenmodus§!, um gültige Grafschaften zu sehen.;;;;;;;;;;;x
eastern_kingdoms_west_sea_trade_route_tooltip;Can only build §YTrade Posts§! in certain Counties along the §YEastern Sea Trade Route§!\n        Open the §YTrade Zones Mapmode§! to see valid Counties;Vous ne pouvez construire de §YComptoirs§! que dans certains comtés sur la §YRoute commerciale de la mer de l'Est§!\n        Ouvrez la §Ycarte des Routes commerciales§! pour voir les comtés valides;Kann §YHandelsposten§! nur in bestimmten Grafschaften entlang der §YÖstlichen Seehandelsroute§! errichten\n        Öffnet den §YHandelszonen-Kartenmodus§!, um die gültigen Grafschaften zu sehen.;;;;;;;;;;;x
kalimdor_trade_route_tooltip;Can only build §YTrade Posts§! in certain Counties along the §YGold Road Trade Route§!\n        Open the §YTrade Zones Mapmode§! to see valid Counties;Vous ne pouvez construire de §YComptoirs§! que dans certains comtés sur la §YRoute commerciale de la route de l'Or§!\n        Ouvrez la §Ycarte des Routes commerciales§! pour voir les comtés valides;Kann §YHandelsposten§! nur in bestimmten Grafschaften  entlang der §YGoldstraßen-Handelsroute§! errichten\n        Öffnet den §YHandelszonen-Kartenmodus§!, um die gültigen Grafschaften zu sehen.;;;;;;;;;;;x
kalimdor_east_sea_trade_route_tooltip;Can only build §YTrade Posts§! in certain Counties along the §YKaldorei Sea Trade Route§!\n        Open the §YTrade Zones Mapmode§! to see valid Counties;Vous ne pouvez construire de §YComptoirs§! que dans certains comtés sur la §YRoute commerciale kaldorei§!\n        Ouvrez la §Ycarte des Routes commerciales§! pour voir les comtés valides;Kann §YHandelsposten§! nur in bestimmten Grafschaften  entlang der §YKaldoreiischen Seehandelsroute§! errichten\n        Öffnet den §YHandelszonen-Kartenmodus§!, um die gültigen Grafschaften zu sehen.;;;;;;;;;;;x
great_sea_trade_route_tooltip;Can only build §YTrade Posts§! in certain Counties along the §YGreat Sea Trade Route§!\n        Open the §YTrade Zones Mapmode§! to see valid Counties;Vous ne pouvez construire de §YComptoirs§! que dans certains comtés sur la §YRoute commerciale de la Grande mer§!\n        Ouvrez la §Ycarte des Routes commerciales§! pour voir les comtés valides;Kann §YHandelsposten§! nur in bestimmten Grafschaften  entlang der §YGroßen Seehandelsroute§! errichten\n        Öffnet den §YHandelszonen-Kartenmodus§!, um die gültigen Grafschaften zu sehen.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
text_effect_major_trade_route;This is a §GMajor§! Trade Route;C'est une Route commerciale §Gmajeure§!;Dies ist eine §GBedeutsame§! Handelsroute;;;;;;;;;;;x
text_effect_medium_trade_route;This is a §YMedium§! Trade Route;C'est une Route commerciale §Gmoyenne§!;Dies ist eine §YGewöhnliche§! Handelsroute;;;;;;;;;;;x
text_effect_minor_trade_route;This is a §RMinor§! Trade Route;C'est une Route commerciale §Gmineure§!;Dies ist eine §RUnbedeutende§! Handelsroute;;;;;;;;;;;x
;;;;;;;;;;;;;;x
tr_culture_none;Road Tavern;Taverne routière;Straßentaverne;;;;;;;;;;;x
tr_culture_group_goblin;Zeppelin Tower;Tour des zeppelins;Zeppelinturm;;;;;;;;;;;x
tr_culture_group_night_elf;Resting Lounge;Salle de repos;Erholungslounge;;;;;;;;;;;x
tr_culture_group_high_elf_human_draenei;Jeweler's Shop;Bijouterie;Juweliere;;;;;;;;;;;x
tr_culture_group_tauren;Kodo Ranch;Ranch des kodos;Kodo-Züchter;;;;;;;;;;;x
tr_culture_group_tuskarr;Turtle Pools;Piscine des tortues;Schildkrötenbecken;;;;;;;;;;;x
tr_culture_group_harpy;Guide Eagle Nests;Nid des aigles;Leitadlernester;;;;;;;;;;;x
tr_culture_group_orc;Wolf Bestiary;Enclos des loups;Wolfsbestiarium;;;;;;;;;;;x
tr_culture_group_troll;Charm Shop;Boutique de charmes;Amulettverkäufer;;;;;;;;;;;x
tr_culture_group_dwarf;Stonemasons Guild;Guilde des maçons;Steinmetzgilde;;;;;;;;;;;x
tr_culture_group_kobold;Chandlers Guild;Guilde des chandeliers;Kerzenziehergilde;;;;;;;;;;;x
tr_culture_group_gnome;Merchant Bots Hub;Centre des robots marchands;Handelsbotzentrum;;;;;;;;;;;x
tr_culture_group_murloc;Coralmasons Guild;Guilde des façonneurs de coraux;Korallenmeißler;;;;;;;;;;;x
;;;;;;;;;;;;;;x
tr_religion_arcane_religion;Portal Center;Centre des portails;Portalzentrum;;;;;;;;;;;x
;;;;;;;;;;;;;;x
tr_culture_none_desc;A place where merchants can get a roof over their heads and a plate of food.;Un endroit où les commerçants peuvent obtenir un toit et une assiette.;Ein Ort, an dem Händler ein Dach über dem Kopf und einen Teller mit Essen bekommen können.;;;;;;;;;;;x
tr_culture_group_goblin_desc;A building where a zeppelin docks to pickup and drop off passengers.;Un bâtiment où un zeppelin accoste pour prendre et déposer des passagers.;Ein Gebäude, an dem ein Zeppelin anlegt, um Passagiere abzuholen und abzusetzen.;;;;;;;;;;;x
tr_culture_group_night_elf_desc;A place where travellers of all sorts can rest.;Un lieu où les voyageurs de toutes sortes peuvent se reposer.;Ein Ort, an dem sich Reisende aller Art ausruhen können.;;;;;;;;;;;x
tr_culture_group_high_elf_human_draenei_desc;In this store, jewelers sell their precious masterpieces.;Dans ce magasin, les bijoutiers vendent leurs précieux chefs-d'œuvre.;In diesem Geschäft verkaufen Juweliere ihre kostbaren Meisterwerke.;;;;;;;;;;;x
tr_culture_group_tauren_desc;Many kodo beasts breed happily on this farm.;De nombreux kodos se reproduisent avec bonheur dans cette ferme.;Auf dieser Farm werden viele glückliche Kodo-Bestien gezüchtet.;;;;;;;;;;;x
tr_culture_group_tuskarr_desc;Turtles can make it to these water pools.;Les tortues peuvent se rendre dans ces mares.;Becken voll martialischer Schildkröten.;;;;;;;;;;;x
tr_culture_group_harpy_desc;Sharp-eyed eagles that live here help merchants avoid dangerous paths.;Les aigles aux yeux aiguisés qui vivent ici aident les commerçants à éviter les chemins dangereux.;Scharfäugige Adler, die hier leben, helfen Händlern, gefährliche Pfade zu vermeiden.;;;;;;;;;;;x
tr_culture_group_orc_desc;Big, but not really bad wolves are used here for transporting goods.;De grands loups, mais pas vraiment méchants, sont utilisés ici pour le transport des marchandises.;Große, aber nicht wirklich böse Wölfe werden hier zum Transport von Waren eingesetzt.;;;;;;;;;;;x
tr_culture_group_troll_desc;Charms against curses, misfortune and greedy merchants are produced and sold here. No returns or refunds. Ever.;Des charmes contre les malédictions, le mauvais sort et les marchands cupides sont produits et vendus ici. Aucun retour ou remboursement. Jamais.;Amulette gegen Flüche, Unglück und gierige Kaufleute werden hier produziert und verkauft. Keine Rückgabe oder Rückerstattung. Niemals.;;;;;;;;;;;x
tr_culture_group_dwarf_desc;Here hard stones are used in even harder mason's work.;Ici, les pierres dures sont utilisées dans des travaux de maçonnerie encore plus difficiles.;Hier werden harte Steine für noch härtere Maurerarbeiten verwendet.;;;;;;;;;;;x
tr_culture_group_kobold_desc;Chandlers work here to produce candles so long as you no take them!;Des chandeliers travaillent ici pour produire des bougies, tant que vous ne les prenez pas !;Kerzenzieher arbeiten hier, solange ihr nicht ihre Kerzen klaut.;;;;;;;;;;;x
tr_culture_group_gnome_desc;Merchant bots sell other merchant bots here.\n"Beep-boop, dear customer.";Des robots marchands vendent d'autres robots marchands ici.\n"Beep-boop, cher client.";Handelsbots verkaufen hier andere Handelsbots.\n„Beep-boop, lieber Kunde.“;;;;;;;;;;;x
tr_culture_group_murloc_desc;Even if these craftsmen smell fishy, they produce and sell extremely beautiful coralwork.;Même si ces artisans sentent le poisson, ils produisent et vendent de très beaux coraux.;Auch wenn diese Handwerker fischig riechen, produzieren und verkaufen sie doch sehr schöne Korallen.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
tr_religion_arcane_religion_desc;A place that has portals to many places across Azeroth.;Un lieu où les portails mènent vers de nombreux endroits en Azeroth.;Ein Ort, dessen Portale zu vielen Orten in ganz Azeroth führen.;;;;;;;;;;;x
